"Index","gdp","canada_gdp","mexico_gdp"
2013-11-01,3976.50225753497,428600.104283175,3372.0007450668
2013-12-01,3963.97024973637,428985.027715614,3375.00591415736
2014-01-01,3956.05,429309.8,3380.718
2014-02-01,3959.75176667103,429651.333709496,3389.11315801128
2014-03-01,3970.19295081019,430034.985842951,3398.70890823634
2014-04-01,3983.99,430605.7,3411.144
2014-05-01,3995.17930172692,431340.046672567,3424.6399290117
2014-06-01,4004.76308479273,432214.105670885,3439.99067646624
2014-07-01,4013.594,433074.2,3456.171
2014-08-01,4023.4679657073,433901.370703612,3473.87886460973
2014-09-01,4034.02266015851,434688.898597492,3490.83827656591
2014-10-01,4044.51,435458.1,3504.557
2014-11-01,4055.32015690095,436297.134230539,3514.58428333585
2014-12-01,4065.75261218401,437152.00284166,3521.50650745151
2015-01-01,4076.574,438070.9,3527.719
2015-02-01,4087.48210922759,439016.900004219,3534.54283396981
2015-03-01,4097.35656324595,439886.834381124,3541.23891549403
2015-04-01,4108.229,440858.4,3548.871
2015-05-01,4118.64044933893,441801.399748656,3556.14882592944
2015-06-01,4129.37312573186,442785.356641184,3563.38135369281
2015-07-01,4139.854,443756.3,3569.976
2015-08-01,4150.87238187177,444782.762404341,3576.49093294182
2015-09-01,4162.03857206039,445812.295491729,3583.81417971069
2015-10-01,4172.913,446786.5,3592.957
2015-11-01,4184.17654440578,447752.301734982,3605.38843240198
2015-12-01,4195.17443940001,448659.411893925,3619.37950020906
2016-01-01,4206.744,449588.3,3634.45
2016-02-01,4218.58741041966,450523.765410681,3648.98269280388
2016-03-01,4229.83121740536,451400.329095465,3662.01841323798
2016-04-01,4241.898,452329.1,3675.544
2016-05-01,4253.51502806078,453213.34158107,3688.39510082375
2016-06-01,4265.41866432121,454118.359869859,3701.51919783037
2016-07-01,4276.823,454995.1,3714.136
2016-08-01,4288.47574514652,455909.032702921,3727.1176598461
2016-09-01,4300.00622712865,456827.37342895,3739.92205902914
2016-10-01,4311.065,457714.3,3751.995
2016-11-01,4322.41514727674,458627.41543273,3764.06543783469
2016-12-01,4333.3812655002,459523.719306726,3775.57530770563
2017-01-01,4344.762,460484,3787.597
2017-02-01,4356.2432682101,461492.272493627,3799.97605343061
2017-03-01,4366.68312453653,462428.953393919,3811.38225263396
2017-04-01,4378.283,463470.2,3824.09
2017-05-01,4389.51655340041,464462.333940075,3836.33379665296
2017-06-01,4401.10397899587,465469.928685653,3848.93450743493
2017-07-01,4412.272,466431.3,3861.12
2017-08-01,4423.74217393677,467413.538705153,3873.73559738284
2017-09-01,4435.13309226603,468385.596151514,3886.37058763189
2017-10-01,4446.077,469317.3,3898.603
2017-11-01,4457.3091434455,470272.419351574,3911.2500232136
2017-12-01,4468.14712867543,471194.403488635,3923.55549461281
2018-01-01,4479.367,472150.9,3936.417
2018-02-01,4490.65014825412,473114.929520553,3949.4754157993
2018-03-01,4500.89163410792,473986.716338158,3961.38216694463
2018-04-01,4512.27,474944.6,3974.597
2018-05-01,4523.30235105613,475857.842366492,3987.34469093187
2018-06-01,4534.69289888191,476788.803863116,4000.47160684471
2018-07-01,4545.674,477680.9,4013.146
2018-08-01,4556.95819281945,478596.217677819,4026.21610659341
2018-09-01,4568.2168669626,479503.527148101,4039.21254813412
2018-10-01,4579.138,480371.7,4051.664
2018-11-01,4590.48902392606,481258.488740559,4064.37458246195
2018-12-01,4601.52964915164,482114.732139996,4076.61672915043
2019-01-01,4612.976,483008,4089.333
2019-02-01,4624.44671425736,483917.057478773,4102.20891379246
2019-03-01,4634.83724084931,484746.252125217,4113.93537690729
2019-04-01,4646.39,485663.9,4126.946
2019-05-01,4657.6219701874,486544.620037382,4139.50085107347
2019-06-01,4669.23027791789,487449.68095776,4152.43076489157
2019-07-01,4680.403,488325.6,4164.911
2019-08-01,4691.84111163939,489234.162651135,4177.77287079543
2019-09-01,4703.21289278665,490142.784618807,4190.55715988961
2019-10-01,4714.215,491017.3,4202.805
2019-11-01,4725.63441006813,491913.320200717,4215.3070219757
2019-12-01,4736.75273183139,492779.126102684,4227.32861727608
2020-01-01,4748.322,493681,4239.771
2020-02-01,4759.96058937611,494596.49050729,4252.3060523462
2020-03-01,4770.81805722892,495462.40238368,4264.07860940978
2020-04-01,4782.27,496392.8,4276.644
2020-05-01,4793.1177667306,497293.167308335,4288.72742789487
2020-06-01,4804.15015994562,498220.777741445,4301.11085203877
2020-07-01,4814.756,499113.7,4312.982
2020-08-01,4825.73271912721,500030.034862723,4325.12230844436
2020-09-01,4836.76058753703,500941.443886771,4337.13959074072
2020-10-01,4847.5,501820.9,4348.661
2020-11-01,4858.67447242053,502729.623168959,4360.47304513647
2020-12-01,4869.52690860734,503612.884178011,4371.86556579416
2021-01-01,4880.732,504534,4383.661
2021-02-01,4891.89012707761,505466.200114931,4395.51619418277
2021-03-01,4901.93544603827,506313.356227615,4406.21461716795
2021-04-01,4913.04,507250.3,4417.955
2021-05-01,4923.78161029521,508150.826609967,4429.14409389094
2021-06-01,4934.85989255751,509075.457090502,4440.5600098208
2021-07-01,4945.537,509966.5,4451.523
2021-08-01,4956.5053692628,510884.906873695,4462.81152809743
2021-09-01,4967.40731833413,511800.523862111,4474.06146103932
2021-10-01,4977.898,512683.1,4484.903
2021-11-01,4988.68579949213,513591.786142101,4496.06131047502
2021-12-01,4999.10286080169,514472.687914628,4506.86139892736
2022-01-01,5009.878,515390.6,4518.081
2022-02-01,5020.69127327937,516320.249181122,4529.39959846531
2022-03-01,5030.48802887548,517166.107043297,4539.67397701094
2022-04-01,5041.357,518103,4551.049
2022-05-01,5051.88444011571,519005.047780093,4562.015099308
2022-06-01,5062.74480033012,519932.696676468,4573.32013271784
2022-07-01,5073.208,520827.8,4584.266
2022-08-01,5083.94202055186,521750.911718411,4595.59704221305
2022-09-01,5094.57136845107,522669.500315484,4606.89202961979
2022-10-01,5104.735,523550.8,4617.718
2022-11-01,5115.10212753328,524452.3050742,4628.75314737068
2022-12-01,5125.05396043986,525322.858332871,4639.35244198837
2023-01-01,5135.321,526229.9,4650.32
2023-02-01,5145.62647444028,527150.94305745,4661.37578119528
2023-03-01,5154.97161155646,527989.916346243,4671.41309725168
2023-04-01,5165.351,528918.1,4682.531
2023-05-01,5175.41801500707,529808.977319081,4693.25475036406
2023-06-01,5185.82096800546,530722.168866244,4704.30101961996
2023-07-01,5195.864,531600.8,4714.97
2023-08-01,5206.19143034401,532505.202619597,4725.98408196856
2023-09-01,5216.44437065754,533406.326344353,4736.98962674994
2023-10-01,5226.274,534275.2,4747.632
